Number;Draw no.;Genus;Species;Subspecies;Country;Locality;Key locality;OrigLatitude;OrigLongitude;Latitude;Longitude;Habitat;Collector/Leg.;Day;Month;Year;DBL no.;GMB no.;Type;Notes (1);Notes (2);Box no.
3376;67;Bulinus;senegalensis;;Nigeria;Lake Kainji at Rofia;Kainji  Lake ;10° 22′ 0N;4° 33′ 0E;10.36667;4.55000;;Dazo;;10;1970;;;;;;
3377;67;Bulinus;camerunensis;;Cameroon;Lake Barombi, Kotto;Kotto;4° 10' 60N;9° 37' 60E;4.18330;9.63330;Lake;Moore;;3;1955;;;Type;;;
3379;67;Bulinus;ontusus;;Chad;Goz Beïda near the sudanese border;Goz Beïda;13° 49' 60N;21° 28' 60E;13.83330;21.48330;;JM Watson;;;1967;;;Type;;;
3381;67;Bulinus;camerunensis;;Cameroon;Lake Barombi, Kotto;Kotto;4° 10' 60N;9° 37' 60E;4.18330;9.63330;Lake;Moore;;3;1955;;;Paratype;;;
3382;67;Bulinus;tropicus;toroensis;Uganda;Fort Portal, crater lake;Fort Portal;0° 41' 38N;30° 15' 59E;0.69390;30.26640;;GMB;7;2;1951;;;Type;;;
3384;67;Bulinus;globosus;ugandae;Uganda;Jinja Bay, Lake Victoria;Jinja;0° 22' 60N;32° 32' 60E;0.38330;32.55000;Lake;Cridland;;3;1952;;;Paratype;;;
3387;67;Bulinus;umbilicatus;;Sudan;Zalingei, Darfur;Zalingei;12° 54' 0N;23° 28' 60E;12.90000;23.48330;Darfur;Watson;;;1966;;;Type;;;
3388;67;Bulinus;hightoni;;Kenya;Orma Ali near Hola;Hola;1° 30' 13S;40° 1' 44E;-1.50360;40.02890;Hola;Highton;13;1;1975;;;Paratype;;;
3389;67;Bulinus;nasutus;productus;Uganda;Lake Kyoga at Bugondo;Bugondo;1° 35' 26N;33° 18' 2E;1.59060;33.30060;;Cridland;8;9;1950;;;Type;;;
3390;67;Bulinus;nasutus;productus;Uganda;Lake Kyoga at Bugondo;Bugondo;1° 35' 26N;33° 18' 2E;1.59060;33.30060;;Cridland;8;9;1950;;;Paratype;;;
4077;1;Pedipes;afer;;Africa;W Africa;W Africa;;;;;;;;;;;;;;;
4090;1;Ovatella (O.);firminii;;Tunisia;Djerba Island;Djerba Island;33° 48' 0N;10° 54' 0E;33.80000;10.90000;;GMB;;12;1967;;;;;;
4092;1;Ovatella;lossoni;;Egypt;Ain Abu Shuruf, Siwa Oasis;Ain Abu Shuruf;29°11'0'' N;25°45'0'' E;;;;Ibrahim;14;4;1976;;;;;;
4093;1;Alexia;ciliata;;Morocco;Bouregreg River, Rabat;Rabat;34° 1' 31N;6° 50' 10W;34.02530;-6.83610;River;Cridland;;3;1967;;;;;;
4101;1;Tralia;ovula;;Gabon;Libreville;Libreville;0° 22' 60N;9° 26' 60E;0.38330;9.45000;;Benneke;25;12;1970;;;;;;
4105;1;Melampus;liodus;;Seyshelles;Mahe, Baie Lazare;Baie Lazare;;;-4.75000;55.48333;Mahe;GMB;;11;1973;;;;;;
4116;1;Melampus;semiplicatus;;Kenya;Gazi Mangrove;Gazi;4° 25' 0S;39° 30' 0E;-4.41670;39.50000;;Brown;;4;1972;;;;;;
4117;1;Melampus;liberianus;;DR Congo;Banana;Banana;6° 1' 0S;12° 24' 0E;-6.01670;12.40000;;Schelz;;;;;;;(MCB);;
4118;1;Melampus;lividus;;Kenya;Mombasa;Mombasa;4° 2' 60S;39° 40' 0E;-4.05000;39.66670;;WAG;6;2;1972;;;;;;
4120;1;Melampus;lividus;;Mauritius;;Mauritius;20° 18' 0S;57° 35' 0E;-20.30000;57.58333;;LR;;;;;;;;;
4121;1;Melampus;lividus;;Kenya;N of Mombasa;Mombasa;4° 2' 60S;39° 40' 0E;-4.05000;39.66670;;Brown;;;1972;;;;;;
4122;1;Melampus;caffer;;South Africa;;South Africa;30°0'0'' S;26°0'0'' E;;;;;;;;;;;;;
4123;1;Melampus;semiplicatus;;Seyshelles;Mahe, Anse aux Pins; Anse aux Pins;;;-4.70000;55.51667;Mahe;GMB;;11;1973;;;;;;
4124;1;Melampus;semiaratus;;Kenya;Gazi Mangrove;Gazi;4° 25' 0S;39° 30' 0E;-4.41670;39.50000;Mangrove;Brown;;4;1972;;;;;;
4125;1;Melampus (Signia);semiaratus;;South Africa;Natal, near Umgeni River, Durban;Durban;29° 51' 0S;31° 1' 0E;-29.85000;31.01670;River;Brown;;6;1964;;285;;;;
4128;1;Auriculastra;radiolata;;South Africa;Natal, near Umgeni River, Durban;Durban;29° 51' 0S;31° 1' 0E;-29.85000;31.01670;River;Brown;;6;1964;;;;;;
4136;1;Cassidula;labrella;;Mozambique;Lourenco Marques;Lourenço Marques;25° 57' 55S;32° 35' 21E;-25.96530;32.58920;;Brown;26;9;1964;;464;;;;
4153;1;Ellobium(Auriculodes);sp. ;;Kenya;Gongoni, N of Sabaki River, creek near mangrove swamp;Gongoni;3° 49' 60S;39° 46' 0E;-3.83330;39.76670;River;DSB;;;;;;;75-52, 3H2-75;;
4222;2;Stenophysa  ;marmorata;;Benin;Dangbo, Mitro village ;Mitro;6° 37' 0N;2° 31' 0E;6.61670;2.51670;Mitro;Sadeler;;4;1979;;;;;;
4223;2;Stenophysa  ;marmorata;;Benin;Dangbo District ;Dangbo;6° 30' 0N;2° 40' 60E;6.50000;2.68330;;Sadeler;;2;1979;;;;;;
4224;2;Aplexa;waterloti;;Togo;Haule;Haule;;;;;;Schulze;27;7;1969;;;;Physa on label;;
4225;2;Aplexa;waterloti;;Benin;Houegniko;Houegniko;;;;;;Sadeler;30;7;1977;;;;Stenophysa marmorata waterloti on label ;;
4226;2;Aplexa;waterloti;;Nigeria;Ibadan?;Ibadan;7° 23' 16N;3° 53' 47E;7.38780;3.89640;;Asumu;;2;1974;;;;Physa on label;;
4227;2;Aplexa;waterloti;;Togo;Agouévé;Agouévé;6° 13' 60N;1° 13' 0E;6.23330;1.21670;;Sarthoff;;;1972;;;;Physa on label;;
4228;2;Aplexa;waterloti;;Ghana;"Pond ""Abutu"" at Tamatuku village, Ada area";Tamatuku;5° 54' 0N;0° 31' 60E;5.90000;0.53330;Pond;McCullough;25;2;1961;;675;;Physa on label;;
4229;2;Aplexa;waterloti;;Ghana;"Stream ""Asieta"" S of Chivenia village. Agave East";Chiavenya ;6° 4' 0N;0° 45' 0E;6.06670;0.75000;Stream ;McCullough;21;4;1960;;588;;Physa on label;;
4230;2;Aplexa;waterloti;;Ghana;Pokoasi Agric. Station, Eastern Region ;Pokoase ;5° 40' 60N;0° 16' 60W;5.68330;-0.28330;;McCullough;10;2;1961;;939;;Physa on label;;
4231;2;Aplexa;waterloti;;Ghana;"Stream ""Dokpo"" E of Agbargome village, Agave East";Agbargome;6° 2' 60N;0° 43' 0E;6.05000;0.71670;Stream ;McCullough;25;4;1960;;590;;Physa on label;;
4232;2;Aplexa;waterloti;;Ghana;"Stream ""Kortaley"" E of Agbakorpe village, Agave East";Agbakorpe;6° 1' 60N;0° 43' 0E;6.03330;0.71670;Stream ;McCullough;26;4;1960;;591;;Physa on label;;
4233;2;Aplexa;waterloti;;Ghana;Agave East, more localities;Agave ;5° 52' 60N;0° 37' 60E;5.88330;0.63330;;McCullough;;;;;;;Physa on label;;
4234;2;Aplexa;waterloti;;Ghana;Pond in Abutia village, Keta area;Keta;6°0'0'' N;0°45'0'' E;;;Pond;McCullough;1;11;1960;;1006;;Physa on label;;
4235;2;Aplexa;waterloti;;Ghana;Small swamp near Nogokpo village, Some-Aflao;Nogokpo ;;;;;Swamp;McCullough;23;12;1960;;1070;;Physa on label;;
4236;2;Aplexa;waterloti;;Ghana;Shallow well at Atsivuta village, Some-Aflao;Atsivuta;6° 5' 3N;1° 4' 15E;6.08420;1.07080;Well;McCullough;22;12;1960;;1068;;Physa on label;;
4237;2;Aplexa;waterloti;;Ghana;Swampy sugarcane area in Agbenurorkope village, Keta area ;Agbenurorkope;;;;;Swamp;McCullough;21;10;1960;;995;;Physa on label;;
4238;2;Aplexa;waterloti;;Ghana;"Swamp ""Glevetar"" at Koenu village, Abor area";Koenu;;;;;Swamp;McCullough;5;12;1960;;1116;;Physa on label;;
4239;2;Aplexa;waterloti;;Ghana;Pond at Vui, Keta area;Vui;5° 52' 60N;0° 58' 60E;5.88330;0.98330;Pond;McCullough;17;10;1960;;992;;Physa on label;;
4240;2;Aplexa;waterloti;;Ghana;Stream at Akakagbo, Keta area;Akakagbo;5° 49' 0N;0° 58' 0E;5.81670;0.96670;Stream ;McCullough;29;10;1960;;1003;;Physa on label;;
4241;2;Aplexa;waterloti;;Ghana;Pond in Kpotafuta village, Keta area;Kpotafuta;;;;;Pond;McCullough;22;10;1960;;997;;Physa on label;;
4242;2;Aplexa;waterloti;;Ghana;Pond in Tegbi village, Keta area;Tegbi;5° 50' 60N;0° 58' 60E;5.85000;0.98330;Pond;McCullough;25;10;1960;;1000;;Physa on label;;
4243;2;Aplexa;waterloti;;Ghana;"Swamp ""Atikpeme"" Kodzokope village, Abor area ";Kodzokope;;;;;Swamp;McCullough;22;12;1960;;1131;;Physa on label;;
4244;2;Aplexa;waterloti;;Ghana;Swamp at Adzrovitame village, Some-Aflao;Adzrovitame;;;;;Swamp;McCullough;16;12;1960;;1065;;Physa on label;;
4245;2;Aplexa;waterloti;;Ghana;"Pond ""Denugba"" at Kporvikope, Keta area ";Kporvikope;;;;;Pond;McCullough;20;10;1960;;994;;Physa on label;;
4246;2;Aplexa;waterloti;;Ghana;"Stream ""Dzango"" at Dzagoto village, Some-Aflao";Dzagoto;6° 8' 11N;1° 3' 20E;6.13640;1.05560;Stream ;McCullough;25;11;1960;;1061;;Physa on label;;
4247;2;Aplexa;waterloti;;Ghana;Large swamp at Agbozume village, Some-Aflao;Agbozume;6° 4' 60N;1° 1' 60E;6.08330;1.03330;Swamp;McCullough;15;11;1960;;1055;;Physa on label;;
4248;2;Aplexa;waterloti;;Ghana;"Swamp ""Tar"" E of Ahetologo village, Abor area ";Ahetologo;;;;;Swamp;McCullough;10;11;1960;;1085;;Physa on label;;
4249;2;Aplexa;waterloti;;Ghana;Pond in Agbenuvorkope village, Keta area ;Agbenuvorkope;;;;;Pond;McCullough;21;10;1960;;996;;Physa on label;;
4250;2;Aplexa;waterloti;;Ghana;Swamp at Anorkpui village, Some-Aflao;Anorkpui;;;;;Swamp;McCullough;19;12;1960;;1066;;Physa on label;;
4251;2;Aplexa;waterloti;;Ghana;Stream crossing Insu road at ML 5;Insu;5° 34' 60N;1° 55' 60W;5.58330;-1.93330;Stream ;McCullough;7;3;1961;;427;;Physa on label;;
4252;2;Aplexa;waterloti;;Ghana;Stream crossing Bibiani-Nkawie road ML 15.2 Sedi junction;Bibiani;6° 28' 0N;2° 19' 60W;6.46670;-2.33330;Stream ;McCullough;14;3;1961;;483;;Physa on label;;
4253;2;Aplexa;waterloti;;Ghana;Dunkwa Town, stream near slaughter house;Dunkwa ;5° 58' 0N;1° 46' 60W;5.96670;-1.78330;Stream ;McCullough;11;3;1961;;453;;Physa on label;;
4254;2;Aplexa;waterloti;;Ghana;Kumasi-Mampong road between Agona and Jamasi;Agona;;;;;;McCullough;16;3;1961;;486;;Physa on label;;
4255;2;Aplexa;waterloti;;Ghana;"Stream ""Nyinakin"" at Nyinahin village. Bibiani-Nkawi road ML 36.9";Nyinahin;6° 35' 60N;2° 7' 0W;6.60000;-2.11670;Stream ;McCullough;14;3;1961;;482;;Physa on label;;
4256;2;Aplexa;waterloti;;Ghana;Stream crossing Tarkwa-Aboso road near Fanti junction;Tarkwa;6° 43' 0N;1° 37' 60W;6.71670;-1.63330;Stream ;McCullough;7;3;1961;;419;;Physa on label;;
4257;2;Aplexa;waterloti;;Ghana;Kumasi-Mampong road. Stream at ML 24.5;Kumasi;6° 40' 60N ;1° 37' 0W;6.68330;-1.61670;Stream ;McCullough;16;3;1961;;487;;Physa on label;;
4258;2;Aplexa;waterloti;;Ghana;Tarkwa-Aboso road. Stream at ML 21.5. Dunkwa junction;Dunkwa;5° 58' 0N;1° 46' 60W;5.96670;-1.78330;Stream ;McCullough;7;3;1961;;425;;Physa on label;;
4259;2;Aplexa;waterloti;;Ghana;Kumasi-Mampong road. Stream at ML 20;Kumasi;6° 40' 60N ;1° 37' 0W;6.68330;-1.61670;Stream ;McCullough;16;3;1961;;484;;Physa on label;;
4260;2;Aplexa;waterloti;;Ghana;Stream in Awhidieso village, Tarkwa area ;Awhidieso;;;;;Stream ;McCullough;6;3;1961;;415;;Physa on label;;
4261;2;Aplexa;waterloti;;Ghana;Stream at Aboso railway crossing Tarkwa-Aboso road ;Aboso;5° 31' 0N;0° 43' 0W;5.51670;-0.71670;Stream ;McCullough;7;3;1961;;420;;Physa on label;;
4262;2;Aplexa;waterloti;;Ghana;"Swamp ""Nakatala"" S of Bata/Kpogakope village, Abor area ";Bata;;;;;Swamp;McCullough;11;11;1960;;1088;;Physa on label;;
4263;2;Aplexa;waterloti;;Ghana;Stream at Tarkwa railway station;Tarkwa ;6° 43' 0N;1° 37' 60W;6.71670;-1.63330;Stream ;McCullough;7;3;1961;;432;;Physa on label;;
4264;2;Aplexa;waterloti;;Ghana;Stream crossing Insu road at ML 3.5;Insu;5° 34' 60N;1° 55' 60W;5.58330;-1.93330;Stream ;McCullough;7;3;1961;;428;;Physa on label;;
4265;2;Aplexa;waterloti;;Ghana;Roadside pool at Asin Nyankumasi village, Cape Coast;Asin Nyankumasi ;5° 45' 0N;1° 16' 60W;5.75000;-1.28330;Pool;McCullough;23;2;1961;;348;;Physa on label;;
4266;2;Aplexa;waterloti;;Ghana;Stream at Abenkrom village on Mankesim-Dunkwa road, Cape Coast;Abenkrom;5° 19' 60N;1° 6' 0W;5.33330;-1.10000;Stream ;McCullough;27;2;1961;;370;;Physa on label;;
4267;2;Aplexa;waterloti;;Ghana;"Stream ""Dansabong"" at Kwamang village, Kumasi area ";Kwamang;6° 58' 0N;1° 16' 60W;6.96670;-1.28330;Stream ;McCullough;23;2;1961;;330;;Physa on label;;
4268;2;Aplexa;waterloti;;Ghana;"Stream ""Sankoto"" near Brofroyedru village, Kumasi area ";Brofroyedru;;;;;Stream ;McCullough;22;2;1961;;309;;Physa on label;;
4269;2;Aplexa;waterloti;;Ghana;Chiabo stream, Chiabo village, Kumasi ar;Chiabo ;6° 19' 60N;1° 33' 0W;6.33333;-1.55000;Stream ;McCullough;23;2;1961;;335;;Physa on label;;
4270;2;Aplexa;waterloti;;Ghana;"Stream ""Asuobusi"" near Manhyia village, Kumasi area ";Manhyia ;6° 43' 0N;1° 43' 0W;6.71670;-1.71670;Stream ;McCullough;21;2;1961;;306;;Physa on label;;
4271;2;Aplexa;waterloti;;Ghana;Stream between Fanti and Nyankumasi Kwaduaja village, Cape Coast;Fanti Nyankumasi;5° 22' 60N;1° 8' 60W;5.38330;-1.15000;Stream ;McCullough;24;2;1961;;364;;Physa on label;;
4272;2;Aplexa;waterloti;;Ghana;Kumasi-Bekwai road. Stream at New Adumase village ;Adumase ;;;;;Stream ;McCullough;22;2;1961;;312;;Physa on label;;
4273;2;Aplexa;waterloti;;Ghana;Stream Aprapon, Dominase-Adumanu road, Cape Coast;Dominase;6° 31' 0N;1° 38' 60W;6.51670;-1.65000;Stream ;McCullough;27;2;1961;;371;;Physa on label;;
4274;2;Aplexa;waterloti;;Ghana;Bogaso Football ground, Tarkwa;Bogaso;10° 10' 0N;0° 19' 60E;10.16670;0.33330;;McCullough;8;3;1961;;433;;Physa on label;;
4275;2;Aplexa;waterloti;;Ghana;Bechem-Kumasi road. Stream at Kwadaso junction;Kwadaso;;;;;Stream ;McCullough;21;2;1961;;307;;Physa on label;;
4276;2;Aplexa;waterloti;;Ghana;Stream near Anwiankwanta, Kumasi area ;Anwiankwanta;6° 28' 0N;1° 37' 60W;6.46670;-1.63330;Stream ;McCullough;22;2;1961;;314;;Physa on label;;
4277;2;Aplexa;waterloti;;Ghana;River bed pool at Badakrom village, Cape Coast;Badakrom ;;;;;River ;McCullough;28;2;1961;;373;;Physa on label;;
4278;2;Aplexa;waterloti;;Ghana;Stream near Poano m. agric. Junior Quartera. Kumasi area ;Poano;6° 25' 60N;1° 40' 60W;6.43330;-1.68330;Stream ;McCullough;22;2;1961;;315;;Physa on label;;
4279;2;Aplexa;waterloti;;Ghana;River Offin at Nerebehi. Kumasi area ;Nerebehi;6° 42' 0N;1° 48' 0W;6.70000;-1.80000;River ;McCullough;22;2;1961;;325;;Physa on label;;
4280;2;Aplexa;waterloti;;Ghana;"Stream ""Aboaho"" near Anyinam village. Kumasi area ";Anyinam ;;;;;Stream ;McCullough;22;2;1961;;308;;Physa on label;;
4281;2;Aplexa;waterloti;;Ghana;Stream Aprapon at New Asamang Dubiase village ;New Asamang;;;;;Stream ;McCullough;23;2;1961;;339;;Physa on label;;
4282;2;Aplexa;waterloti;;Ghana;Wanko stream at Chichewine village ;Chichewine;;;;;Stream ;McCullough;24;2;1961;;362;;Physa on label;;
4283;2;Aplexa;waterloti;;Ghana;Stream outlet Nkwanta village, Cape Coast District ;Nkwanta;6° 24' 0N;1° 37' 60W;6.40000;-1.63330;Stream ;McCullough;24;2;1961;;356;;Physa on label;;
4284;2;Aplexa;waterloti;;Ghana;China stream at Chinaso village, Cape Coast;Chinaso ;5° 25' 0N;1° 8' 60W;5.41670;-1.15000;Stream ;McCullough;24;2;1961;;363;;Physa on label;;
4285;2;Stenophysa  ;waterloti;;Ghana;Gold Coast, River Adokro, Apowa-Mpohor road ;Apowa;;;;;River ;McCullough;;;1954;;;;Physa on label;;
4286;2;Stenophysa  ;waterloti;;Ghana;Deep pond at Menta Hospital, Accra;Accra;5° 32' 60N;0° 13' 0W;5.55000;-0.21670;Pond;McCullough;11;11;1959;;87;;Physa on label;;
4287;2;Stenophysa  ;waterloti;;Ghana;Pokoasi dam;Pokoase ;5° 40' 60N;0° 16' 60W;5.68330;-0.28330;Dam;McCullough;11;11;1959;;86;;Physa on label;;
4288;2;Stenophysa  ;waterloti;;Ghana;Gold Coast, Akim-Oda road, Apetesa River ;Akim-Oda;5° 55' 0N;0° 58' 60W;5.91670;-0.98330;River ;McCullough;31;8;1954;;;;Physa on label;;
4289;2;Stenophysa  ;waterloti;;Ghana;Gold Coast, Weija, swamp area ;Weija;5° 34' 0N;0° 19' 60W;5.56670;-0.33330;Swamp;EG Berrry;;;;;;;Physa on label;;
4290;2;Stenophysa  ;waterloti;;Ghana;Aku swamp between Akuse and Amedica;Akuse;6° 5' 60N;0° 7' 60E;6.10000;0.13330;Swamp;McCullough;25;1;1960;;182;;Physa on label;;
4291;2;Stenophysa  ;waterloti;;Ghana;Gold Coast, Wiwi stream, Kumasi area ;Kumasi;6° 40' 60N ;1° 37' 0W;6.68330;-1.61670;Stream ;Wright;;;;;;;Physa on label, mis;;
4292;2;Stenophysa  ;waterloti;;Ghana;Gold Coast, Bosomptwe Lake ;Bosomptwe Lake ;;;;;Lake;Wright;;;;;;;Physa on label, mis;;
4343;2;Physa;acuta;;Morocco;Pool at Scientific Institute, Rabat ;Rabat;34° 1' 31N;6° 50' 10W;34.02530;-6.83610;Pool;Camerlynck;5;5;1971;;(132);;;;
4344;2;Physa;acuta;;Morocco;Aïn El Aouda and Tamera, S of Rabat;Temara;33° 55' 55N;6° 54' 58W;33.93190;-6.91610;;Camerlynck;29;4;1971;;;;;;
4345;2;Physa;acuta;;Morocco;Goulmima 62 km SW of Ksar es Souk;Goulmima;31° 41' 30N;4° 57' 33W;31.69170;-4.95920;;Cornu;25;3;1967;;;;;;
4346;2;Physa;acuta;;Morocco;Merja C'hedira (Larache );Larache ;35° 11' 50N;6° 9' 12W;35.19720;-6.15330;;Camerlynck;24;6;1971;;197;;;;
4347;2;Physa;acuta;;Morocco;Tazzarine near Zagora, irrigition canal ;Tazzarine;30° 48' 0N;5° 34' 0W;30.80000;-5.56670;Canal;Camerlynck;16;6;1971;;179;;;;
4348;2;Physa;acuta;;Morocco;Maâda River, Arboua;Arboua;;;;;River ;Cridland;;3;1967;;;;;;
4349;2;Physa;acuta;;Tunisia;Salammbo;Salammbo;36° 50' 23N;10° 19' 27E;36.83970;10.32420;;AF Bruun;;;1939;;;;;;
4350;2;Physa;acuta;;Morocco;s. 2 (3);Morocco;32° 0' 0N;5° 0' 0W;32.00000;-5.00000;;McCullough;;4;1978;;;;;;
4351;2;Physa;acuta;;Morocco;Swamp Khedira at Larache, Tetuan Province ;Larache;35° 11' 50N;6° 9' 12W;35.19720;-6.15330;Swamp;Camerlynck;24;5;1971;;(148);;;;
4352;2;Physa;acuta;;Morocco;Ganafda near Souk el Arba at Gharb;Ganafda;34° 49' 0N;6° 15' 0W;34.81670;-6.25000;;Cornu;6;4;1967;;;;;;
4353;2;Physa;acuta;;Morocco;Swamp near deuar G'hedira (Larache);Larache;35° 11' 50N;6° 9' 12W;35.19720;-6.15330;Swamp;Camerlynck;4;6;1971;;162;;;;
4354;2;Physa;acuta;;Morocco;Attaouia  Irrigation system. El Kelaa ;Attaouia ;31° 50' 13N;7° 18' 39W;31.83690;-7.31080;Irrigation;McCullough;;4;1978;;;;;;
4355;2;Physa;acuta;;Morocco;Ganafda, Kenitra  Province ;Ganafda;34° 49' 0N;6° 15' 0W;34.81670;-6.25000;;Camerlynck;26;5;1971;;(149);;;;
4356;2;Physa;acuta;;Morocco;Massa Irrigation system, Agadir Province ;Massa ;29°57'0'' N;9°38'0'' W;;;Irrigation;McCullough;;4;1978;;;;;;
4357;2;Physa;acuta;;Morocco;Zagora village, Ouarzazate;Zagora;30° 19' 0N;5° 49' 60W;30.31670;-5.83330;;McCullough;;4;1978;;;;;;
4358;2;Physa;acuta;;Algeria;Hammiz;Hammiz;;;;;;V Kechamir;13;3;1978;;;;;;
4359;2;Physa;acuta;;Algeria;El Harrach;El Harrach;;;;;;V Kechamir;13;3;1978;;;;;;
4360;2;Physa;acuta;;Egypt;Irrigation canal El Haram, Giza;El Haram;29° 24' 27N;31° 10' 22E;29.40750;31.17280;Irrigation;Demian;29;7;1966;;30;;;;
4361;2;Physa;acuta;;Egypt;El Akraz Drain, Shebin, Qalibiya;Sherbin;31° 11' 38N;31° 31' 28E;31.19390;31.52440;Drain;Publ. Health;;1;1967;;;;(Zaghloul 10);;
4362;2;Physa;acuta;;Egypt;Misket Om Sabet, Toukh, Qalibiya;Toakh;30° 20' 54N;31° 9' 29E;30.34830;31.15810;;Publ. Health;;1;1967;;;;(Zaghloul 8);;
4363;2;Physa;acuta;;Egypt;Miska from Ragubiya El-Kabira Canal, Moshtohor Touck, Toukh;Moshtohor;30° 21' 7N;31° 13' 34E;30.35190;31.22610;;Publ. Health;;1;1967;;;;(Zaghloul 7);;
4364;2;Physa;acuta;;Egypt;Irrigation canal in Damallu 4 km N of Benha, Qalibiya;Damallu ;30° 29' 50N;31° 11' 30E;30.49720;31.19170;Irrigation;Demian;10;8;1966;;34;;;;
4365;2;Physa;acuta;;Egypt;El Hadtha Bridge 3 km N of Qaliub;Qaliub;30° 10' 59N;31° 12' 19E;30.18310;31.20530;;GMB;7;12;1966;;;;;;
4366;2;Physa;acuta;;Egypt;Kerdasua Drain near Abu Rawwash, Giza;Abu Rawwash;30° 2' 44N;31° 5' 33E;30.04560;31.09250;Drain;GMB;15;2;1969;;;;;;
4367;2;Physa;acuta;;Egypt;Sandahhour Drain Shebin, Qalibiya ;Sherbin;31° 11' 38N;31° 31' 28E;31.19390;31.52440;Drain;Publ. Health;;1;1967;;;;(Zaghloul 9);;
4368;2;Physa;acuta;;Egypt;Drain near Nawa, 12 km NE of Qaliub;Nawa;30° 13' 40N;31° 15' 52E;30.22780;31.26440;Drain;GMB;7;12;1966;;;;;;
4369;2;Physa;acuta;;Egypt;Miska from Selsela Canal, Benha, Qalibiya ;Benha;30° 27' 39N;31° 11' 15E;30.46080;31.18750;;Publ. Health;;1;1967;;;;(Zaghloul 5);;
4370;2;Physa;acuta;;Egypt;Orfi Drain, Kanater, Qaliub, Qalibiya ;Qaliub;30° 10' 59N;31° 12' 19E;30.18310;31.20530;Drain;Publ. Health;;1;1967;;;;(Zaghloul 2);;
4371;2;Physa;acuta;;Egypt;Rashah Aasem, Tersa area, Toukh, Qalibiya ;Tersa ;29° 58' 0N;31° 11' 60E;29.96670;31.20000;;Publ. Health;;1;1967;;;;(Zaghloul 1);;
4372;2;Physa;acuta;;Egypt;Drain S of Abu Rawwash to El Manhar, Giza;Abu Rawwash;30° 2' 44N;31° 5' 33E;30.04560;31.09250;Drain;Demian;20;6;1966;;27;;;;
4373;2;Physa;acuta;;Egypt;Drain just N of Abu Rawwash, Giza;Abu Rawwash;30° 2' 44N;31° 5' 33E;30.04560;31.09250;Drain;Demian;10;6;1966;;23;;;;
4374;2;Physa;acuta;;Egypt;Irrigation canal 10 km N of Abu Rawwash, Giza;Abu Rawwash;30° 2' 44N;31° 5' 33E;30.04560;31.09250;Irrigation;Demian;15;6;1966;;24;;;;
4375;2;Physa;acuta;;Egypt;Drain E of Abu Rawwash to El Hagadla, Giza;Abu Rawwash;30° 2' 44N;31° 5' 33E;30.04560;31.09250;Drain;Demian;20;6;1966;;26;;;;
4376;2;Physa;acuta;;Egypt;Drain 1 km N of Abu Rawwash, Giza;Abu Rawwash;30° 2' 44N;31° 5' 33E;30.04560;31.09250;Drain;Demian;15;6;1966;;25;;;;
4377;2;Physa;acuta;;Egypt;Iskander Drain, Qaliub, Qalibiya ;Qaliub;30° 10' 59N;31° 12' 19E;30.18310;31.20530;Drain;Publ. Health;;1;1967;;;;(Zaghloul 4);;
4378;2;Physa;acuta;;Egypt;The Nile, Maadi;Maadi;29° 58' 0N;31° 15' 0E;29.96670;31.25000;River ;Dampf;;;;;;;;;
4379;2;Physa;acuta;;Egypt;Irrigation canal 43 km E of Alexandria, Rashid;Alexandria;31° 11' 53N;29° 55' 9E;31.19810;29.91920;Irrigation;Demian;3;3;1966;;18;;;;
4380;2;Physa;acuta;;Egypt;Misqa in El-Adliya 3 km E of Kafr El-Dawaar, Beheira;El-`Âdlîya ;31° 23' 41N;31° 45' 47E;31.39472;31.76306;;Demian;5;3;1966;;21;;;;
4381;2;Physa;acuta;;Egypt;Small drain, Sinnahwa, S of Minya El-Qamh, Sharqiya;Sinnahwa;30° 25' 30N;31° 22' 20E;30.42500;31.37220;Drain;Demian;17;11;1965;;5;;;;
4382;2;Physa;acuta;;Egypt;Irrigation canal 5 km W of Rosetta, Rashid;Rosetta;31° 24' 16N;30° 24' 59E;31.40440;30.41640;Irrigation;Demian;3;3;1966;;17;;;;
4383;2;Physa;acuta;;Egypt;Irrigation canal near Sinnahwa S of Minya El-Qamh, Sherqiya;Sinnahwa;30° 25' 30N;31° 22' 20E;30.42500;31.37220;Irrigation;Demian;17;11;1965;;6;;;;
4384;2;Physa;acuta;;Egypt;Birket El-Halwes near Ismailiya;Ismailiya;30° 34' 60N;32° 16' 0E;30.58330;32.26670;;Demian;3;2;1966;;15;;;;
4385;2;Physa;acuta;;Egypt;Irrigation canal near Ezbet 'Azgoul 3 km N of Minya al Qamh, Sharqiya;Minya al Qamh;30° 30' 49N;31° 20' 47E;30.51360;31.34640;Irrigation;Demian;17;11;1965;;1;;;;
4386;2;Physa;acuta;;Egypt;Misqa 3 km E of Kafr El-Dawaar, Beheira;Beheira;30° 59' 0N;30° 12' 0E;30.98333;30.20000;;Demian;5;3;1966;;20;;;;
4387;2;Physa;acuta;;Egypt;Drain in Ezbet Bilal, 25 km E of Alexandria;Ezbet Bilal;31°15'53'' N;30°56'56'' E;31.26472;30.94889;Drain;Demian;3;3;1966;;16;;;;
