Number;Draw no.;Genus;Species;Subspecies;Country;Locality;Key locality;OrigLatitude;OrigLongitude;Latitude;Longitude;Habitat;Collector/Leg.;Day;Month;Year;DBL no.;GMB no.;Type;Notes (1);Notes (2);Box no.
5836;10;Ceratophallus;kigeziensis;nyanzae;Uganda;Victoria Nile, Bujagali;Bujagali;0° 28' 60N;33° 8' 60E;0.48333;33.15000;River;GMB;18;2;1951;;;;Gyraulus kigeziensis on label;;
5837;10;Ceratophallus;natalensis;;Uganda;Lake Kyoga, Bugundo;Bugundo;1° 35' 26N;33° 18' 2E;1.59060;33.30060;Lake ;Cridland;;;1951;;;;Anisus natalensis on label;;
5838;10;Ceratophallus;natalensis;;Uganda;Lake Albert below Butiaba Camp;Butiaba; 1° 48' 41N ;31° 19' 50E;1.81140;31.33060;Lake ;GMB;5;2;1951;;;;Anisus natalensis on label;;
5839;10;Ceratophallus;natalensis;;Uganda;Lake Victoria, northern part;Lake Victoria ;1°0'0'' S;33°0'0'' E;;;Lake ;;;;;;;;Anisus natalensis on label;;
5840;10;Ceratophallus;natalensis;;Uganda;Albert Nile, Packwach, 3-4';Packwach;2° 27' 13N;31° 30' 9E;2.45360;31.50250;River;Cridland;;8;1955;;;;Anisus natalensis on label;;
5841;10;Ceratophallus;natalensis;;Uganda;Lake Victoria, 2 miles S of Mu Island at Entebbe 40';Mu Island;;;0.00194;32.43056;Lake ;Cridland;;4;1952;;;;Anisus natalensis on label;;
5842;10;Ceratophallus;natalensis;;Uganda;Iganda Dam;Iganda ;0° 36' 33N;33° 28' 7E;0.60920;33.46860;Dam;Cridland;;4;1950;;;;Anisus natalensis on label;;
5843;10;Ceratophallus;natalensis;;Uganda;Kibimba River;Kibimba River;0° 5' 16N;31° 32' 17E;0.08778;31.53806;River;Cridland;;;1952;;;;Anisus natalensis on label;;
5844;10;Ceratophallus;natalensis;;Uganda;Lira;Lira;2° 14' 6N;32° 54' 35E;2.23500;32.90970;;Dr. Wilson;;;;;;;Anisus natalensis on label;;
5845;10;Ceratophallus;natalensis;;Uganda;Nawanga River;Nawanga River;;;0.74361;33.57083;River;Cridland;;7;1952;;;;Anisus natalensis on label;;
5846;10;Ceratophallus;natalensis;;Uganda;Lira Dam;Lira;2° 14' 6N;32° 54' 35E;2.23500;32.90970;Dam;Sturrock;14;6;1965;;15;;Anisus natalensis on label;;
5847;10;Ceratophallus;natalensis;;Uganda;Victoria Nile at Atura, 40 miles SW of Lira;Atura;2° 7' 10N;32° 20' 38E;2.11940;32.34390;River;Sturrock;17;6;1965;;41;;Anisus natalensis on label;;
5848;10;Ceratophallus;natalensis;;Uganda;Albert Nile, Laropi 3-4';Laropi;3° 32' 31N;31° 50' 33E;3.54190;31.84250;River;Cridland;;8;1955;;;;Anisus natalensis on label;;
5849;10;Ceratophallus;natalensis;;Uganda;Kichwamba craterLake;Kichwamba;0° 40' 60S;29° 55' 60E;-0.68330;29.93330;Lake ;GMB;11;2;1951;;;;Anisus natalensis on label;;
5850;10;Ceratophallus;natalensis;;Uganda;Lake Kyoga at Muntu, Swampy Lake margin;Muntu;1° 38' 60N;32° 52' 0E;1.65000;32.86670;Lake ;Sturrock;16;6;1965;;38;;Anisus natalensis on label;;
5851;10;Ceratophallus;natalensis;;Uganda;Teboke, 27 miles W of Lira, swamp ;Teboke;1° 49' 0N;32° 17' 60E;1.81670;32.30000;Swamp;Sturrock;12;6;1965;;10;;Anisus natalensis on label;;
5852;10;Ceratophallus;natalensis;;Sudan;The White Nile, Nimule 3-4';Nimule;3° 36' 0N;32° 2' 60E;3.60000;32.05000;River;Cridland;;8;1955;;;;Anisus natalensis on label;;
5853;10;Ceratophallus;natalensis;;Kenya;Lake Turkana (Rudolf);Lake Turkana;3° 30' 0N;36° 0' 0E;3.50000;36.00000;Lake ;"""Lakelab""";;;;;;;(Cridland mis), Anisus natalensis on label;;
5854;10;Ceratophallus;natalensis;;Uganda;Fort Portal Crater Lake I;Fort Portal;0° 41' 38N;30° 15' 59E;0.69390;30.26640;Lake ;GMB;;2;1951;;;;Anisus natalensis on label;;
5855;10;Ceratophallus;natalensis;;Tanzania;Pool near Ukiriguru, Mwanza;Ukiriguru;2° 43' 0S;33° 1' 0E;-2.71670;33.01670;Pool;GMB;2;2;1972;;;;;;
5856;10;Ceratophallus;natalensis;;Uganda;Lake Mutanda;Lake Mutanda;;;-1.20861;29.67528;Lake ;Brown;;;1951;;;;Anisus natalensis on label;;
5857;10;Ceratophallus;natalensis;;Uganda;Lake Edward between Nyamagasani and Congo;Nyamagasani;0° 9' 0S;29° 49' 0E;-0.15000;29.81667;Lake ;Cridland;;2;1954;;;;Anisus natalensis on label;;
5858;10;Ceratophallus;natalensis;;Uganda;Albert Nile, Rhino Camp;Rhino Camp;2° 57' 50N;31° 24' 40E;2.96390;31.41110;River;Cridland;;8;1955;;;;Anisus natalensis on label;;
5859;10;Ceratophallus;natalensis;;Uganda;Lake Victoria, Hippo Bay, Entebbe;Entebbe;0° 3' 52N;32° 26' 49E;0.06440;32.44690;Lake ;Cridland;;4;1951;;;;Anisus natalensis on label;;
5860;10;Ceratophallus;natalensis;;Uganda;Jarvis Dam, Jinja;Jinja;0° 22' 60N;32° 32' 60E;0.38330;32.55000;Dam;Cridland;;4;1955;;;;Anisus natalensis on label;;
5861;10;Ceratophallus;natalensis;;Uganda;Albert Nile, Liri 3-4';Liri;3° 23' 2N;31° 41' 3E;3.38390;31.68420;River;Cridland;;8;1955;;;;Anisus natalensis on label;;
5862;10;Ceratophallus;natalensis;;Uganda;Lake Edward NE;Lake Edward ;0° 21' 0S;29° 35' 0E;-0.35000;29.58333;Lake ;GMB;10;2;1951;;;;Anisus natalensis on label;;
5863;10;Ceratophallus;natalensis;;Uganda;Lake Kyoga at Bugondo;Bugondo;1° 35' 26N;33° 18' 2E;1.59060;33.30060;Lake ;Cridland;8;9;1959;;;;Anisus natalensis on label;;
5864;10;Ceratophallus;natalensis;;Uganda;Malawa River, near Mt. Elgon;Malawa River;;;;;River;Cridland;;10;1955;;;;Anisus natalensis on label;;
5865;10;Ceratophallus;natalensis;;Uganda;Lake Albert E of Butiaba Harbour;Butiaba; 1° 48' 41N ;31° 19' 50E;1.81140;31.33060;Lake ;Cridland;17;8;1950;;;;Anisus natalensis on label;;
5866;10;Ceratophallus;natalensis;;Uganda;Nawanga River between Iganga and Busembatia;Iganga ;0° 36' 33N;33° 28' 7E;0.60920;33.46860;River;Cridland;;12;1951;;;;Anisus natalensis on label;;
